# BufferName, PLCAddress, BufferIndex
A01,D1010,0
A02,D1020,1
A03,D1030,2
A04,D1040,3
A05,D1050,4
A06,D1060,5
A07,D1070,6
A08,D1080,7
A09,D1090,8
A10,D1100,9
A11,D1110,10
A12,D1120,11
A13,D1130,12
A14,D1140,13
A15,D1150,14
A16,D1160,15
A17,D1170,16
A18,D1180,17
A19,D1190,18
A20,D1200,19
A21,D1210,20
A22,D1220,21
A23,D1230,22
A24,D1240,23
A25,D1250,24
A26,D1260,25
A27,D1270,26
A28,D1280,27
A29,D1290,28
A30,D1300,29
A31,D1310,30
A32,D1320,31
A33,D1330,32
A34,D1340,33
A35,D1350,34
A36,D1360,35
A37,D1370,36
A38,D1380,37
A39,D1390,38
A40,D1400,39
A41,D1410,40
A42,D1420,41
A43,D1430,42
A44,D1440,43
A45,D1450,44
A46,D1460,45
A47,D1470,46
A48,D1480,47
A49,D1490,48
A50,D1500,49
A51,D1510,50
A52,D1520,51
A53,D1530,52
A54,D1540,53
A55,D1550,54
A56,D1560,55
A57,D1570,56
A58,D1580,57
A59,D1590,58
A60,D1600,59
A61,D1610,60
A62,D1620,61
A63,D1630,62
A64,D1640,63
A65,D1650,64
A66,D1660,65
A67,D1670,66
A68,D1680,67
A69,D1690,68
A70,D1700,69
A71,D1710,70
A72,D1720,71
A73,D1730,72
A74,D1740,73
A75,D1750,74
A76,D1760,75
A77,D1770,76
A78,D1780,77
A79,D1790,78
A80,D1800,79
A81,D1810,80
A82,D1820,81
A83,D1830,82
A84,D1840,83
A85,D1850,84
A86,D1860,85
A87,D1870,86
A88,D1880,87
A89,D1890,88
A90,D1900,89
A91,D1910,90
A92,D1920,91
A93,D1930,92
A94,D1940,93
A95,D1950,94
A96,D1960,95
A97,D1970,96
A98,D1980,97
A99,D1990,98
A100,D2000,99
A101,D2010,100
A102,D2020,101
A103,D2030,102
A104,D2040,103
A105,D2050,104
A106,D2060,105
A107,D2070,106
A108,D2080,107
A109,D2090,108
A110,D2100,109
A111,D2110,110
A112,D2120,111
A113,D2130,112
A114,D2140,113
A115,D2150,114
A116,D2160,115
A117,D2170,116
A118,D2180,117
